Package,CVE-ID,Links,Detection_ObjLupAnsys,Detection_ODGen,Detection_ODGen,Detection_Explode.js,Detection_FesaJS
nestie 1.0.0,,https://security.snyk.io/vuln/SNYK-JS-NESTIE-1300518 https://github.com/advisories/GHSA-m7rg-8wvq-846v,,,,TP,TP
nis-utils 0.6.10,CVE-2020-7703,https://security.snyk.io/vuln/SNYK-JS-NISUTILS-598799 https://github.com/advisories/GHSA-gr58-j5wh-m333,,,,TP,TP
node.extend 2.0.0,,https://hackerone.com/reports/430831,,,,TP,TP
node-dig 1.0.1,,https://security.snyk.io/vuln/SNYK-JS-NODEDIG-1069825 ,,,,TP,TP
nodee-utils 1.2.2,CVE-2020-7722,https://security.snyk.io/vuln/SNYK-JS-NODEEUTILS-598679 https://github.com/advisories/GHSA-p6jh-p7q8-pcrg,,,,TP,TP
node-forge 0.9.0,CVE-2020-7720,https://security.snyk.io/vuln/SNYK-JS-NODEFORGE-598677 https://github.com/advisories/GHSA-92xj-mqp7-vmcj,,,,TP,TP
node-oojs 1.4.0,CVE-2020-7721,https://security.snyk.io/vuln/SNYK-JS-NODEOOJS-598678 https://github.com/advisories/GHSA-j4rw-x3vg-c8r7,,,,TP,TP
notevil 1.3.3,CVE-2021-23771,https://security.snyk.io/vuln/SNYK-JS-NOTEVIL-2385946,,,,TP,TP
object-collider 1.0.3,CVE-2021-25914,https://www.mend.io/vulnerability-database/CVE-2021-25914,,,,TP,TP
object-extend 0.5.0,CVE-2021-23702,https://security.snyk.io/vuln/SNYK-JS-OBJECTEXTEND-2401470,,,,TP,TP
objection 2.0.0,CVE-2021-3766,https://security.snyk.io/vuln/SNYK-JS-OBJECTION-1582910 https://github.com/advisories/GHSA-r659-8xfp-j327,FN,FN,FN,TP,TP
object-path 0.11.4,CVE-2020-15256,https://security.snyk.io/vuln/SNYK-JS-OBJECTPATH-1017036 https://github.com/advisories/GHSA-v39p-96qg-c8rf https://hackerone.com/reports/878332,3s,3s,3s,TP,TP
object-path 0.11.4,CVE-2021-23434,https://security.snyk.io/vuln/SNYK-JS-OBJECTPATH-1569453 https://github.com/advisories/GHSA-v39p-96qg-c8rf,3s,3s,3s,TP,TP
object-path-set 1.0.0,CVE-2020-15256,https://security.snyk.io/vuln/SNYK-JS-OBJECTPATHSET-607908 https://github.com/advisories/GHSA-cwx2-736x-mf6w,,,,TP,TP
objnest 5.0.0,,https://security.snyk.io/vuln/SNYK-JS-OBJNEST-1041787 ,"no, with FP","no, with FP","no, with FP",TP,TP
objtools 3.0.0,,https://security.snyk.io/vuln/SNYK-JS-OBJTOOLS-674471 ,,,,TP,TP
objutil 2.17.3,,https://security.snyk.io/vuln/SNYK-JS-OBJUTIL-559496 ,,,,TP,TP
patchmerge 1.0.0,CVE-2021-25916,https://security.snyk.io/vuln/SNYK-JS-PATCHMERGE-1086585 https://github.com/advisories/GHSA-84g3-cv89-m9gm,,,,TP,TP
patchmerge 1.0.1,CVE-2021-25916,https://security.snyk.io/vuln/SNYK-JS-PATCHMERGE-1086585 https://github.com/advisories/GHSA-84g3-cv89-m9gm,,,,FN,TP
path 4.6.8,CVE-2020-7708,https://github.com/Irrelon/irrelon-path/commit/8a126b160c1a854ae511659c111413ad9910ebe3,,,,TP,TP
pathval 1.1.0,CVE-2020-7751,https://security.snyk.io/vuln/SNYK-JS-PATHVAL-596926 ,3s,3s,3s,TP,TP
paypal-adaptive 0.4.1,CVE-2020-7643,https://security.snyk.io/vuln/SNYK-JS-PAYPALADAPTIVE-565089 https://github.com/advisories/GHSA-v3r2-3fp4-rp46,3s,3s,3s,TP,TP
phpjs 1.3.2,CVE-2020-7700,https://security.snyk.io/vuln/SNYK-JS-PHPJS-598681 https://github.com/advisories/GHSA-m428-jqc4-2p5j,,,,TP,TP
plain-object-merge 1.0.1,,https://security.snyk.io/vuln/SNYK-JS-PLAINOBJECTMERGE-1085643 ,,,,FN,TP
predefine 0.1.2,CVE-2020-28280,https://security.snyk.io/vuln/SNYK-JS-PREDEFINE-1054935 https://github.com/advisories/GHSA-mx3x-ghqm-r43h,,,,TP,TP
promisehelpers 0.0.5,CVE-2020-7723,https://security.snyk.io/vuln/SNYK-JS-PROMISEHELPERS-598686 https://github.com/advisories/GHSA-rj5f-7c8x-gjg4,,,,FN,FN
properties-reader 2.0.0,CVE-2020-28471,https://security.snyk.io/vuln/SNYK-JS-PROPERTIESREADER-1048968 ,,,,TP,TP
property-expr 2.0.2,CVE-2020-7707,https://security.snyk.io/vuln/SNYK-JS-PROPERTYEXPR-598800 https://github.com/advisories/GHSA-6fw4-hr69-g3rv,,,,TP,TP
protobufjs 6.11.0,CVE-2022-25878,https://security.snyk.io/vuln/SNYK-JS-PROTOBUFJS-2441248,,,,TP,TP
putil-merge 3.0.0, CVE-2021-25953,https://security.snyk.io/vuln/SNYK-JS-PUTILMERGE-1317077 https://github.com/advisories/GHSA-9x7m-9hpg-xxmw,,,,TP,TP
qs 6.2.2,,,10s,10s,10s,TP,TP
querymen 2.1.3,CVE-2020-7600,https://security.snyk.io/vuln/SNYK-JS-QUERYMEN-559867 https://github.com/advisories/GHSA-2cf2-2383-h4jv,4s,4s,4s,TP,TP
querymen 2.1.4,CVE-2022-25871,https://security.snyk.io/vuln/SNYK-JS-QUERYMEN-2391488,"no, with FP","no, with FP","no, with FP",TP,TP
rdf-graph-array 0.3.0,CVE-2019-10798,https://security.snyk.io/vuln/SNYK-JS-RDFGRAPHARRAY-551803 https://github.com/advisories/GHSA-prv2-xwr7-hr57,,,,TP,TP
reggae 0.0.1,,,,,,TP,TP
rfc6902 4.0.2,,https://security.snyk.io/vuln/SNYK-JS-RFC6902-1053318 ,,,,TP,TP
safe-flat 2.0.0,CVE-2021-25927,https://security.snyk.io/vuln/SNYK-JS-SAFEFLAT-1277112 https://github.com/advisories/GHSA-33rv-m2gp-mm2r,,,,TP,TP
safe-obj 1.0.0,CVE-2021-25928,https://security.snyk.io/vuln/SNYK-JS-SAFEOBJ-1277111 https://github.com/advisories/GHSA-wpgh-hmv4-r3v5,,,,TP,TP
safe-object2 1.0.3,CVE-2020-7726,https://security.snyk.io/vuln/SNYK-JS-SAFEOBJECT2-598801,,,,TP,TP
safetydance 1.1.1,CVE-2020-7737,https://security.snyk.io/vuln/SNYK-JS-SAFETYDANCE-598687,,,,TP,TP
safetydance 2.0.1,CVE-2020-7737,https://security.snyk.io/vuln/SNYK-JS-SAFETYDANCE-598687 ,,,,TP,TP
sahmat 1.0.1,,,,,,TP,TP
sds 3.2.0,,https://github.com/418sec/sds/pull/1/commits/71009613b5b50b6bb3a00b6cfbc643fe82f23ca7,,,,TP,TP
sds 4.4.0,CVE-2022-25862,https://security.snyk.io/vuln/SNYK-JS-SDS-2385944,,,,TP,TP
set-1.0.0,CVE-2020-28267,https://www.mend.io/vulnerability-database/CVE-2020-28267,,,,TP,TP
set-deep-prop 1.0.0,CVE-2021-23373,https://security.snyk.io/vuln/SNYK-JS-SETDEEPPROP-1083231 ,,,,TP,TP
set-getter 0.1.0,CVE-2021-25949,https://www.mend.io/vulnerability-database/CVE-2021-25949,,,,TP,TP
set-in 2.0.0,CVE-2020-28273,https://github.com/ahdinosaur/set-in/commit/e431effa00195a6f06b111e09733cd1445a91a88,2s,2s,2s,TP,TP
set-in 2.0.1,CVE-2022-25354,https://security.snyk.io/vuln/SNYK-JS-SETIN-2388571,,,,TP,TP
